timestamp,activity
1,A
4,B
6,C
11,D
16,E
12,A
14,C
17,B
22,D
27,E
19,A
24,D
28,B
30,C
35,E
26,A
29,C
34,D
37,B
42,E
40,A
45,D
47,C
50,B
55,E
52,A
54,C
59,D
62,B
67,E
61,A
63,C
66,B
71,D
76,E
68,A
73,D
77,B
79,C
84,E
74,A
78,B
80,C
85,D
90,E
88,A
91,B
93,C
98,D
103,E
99,A
101,C
106,D
109,B
114,E
108,A
111,B
116,D
118,C
123,E
115,A
117,C
122,D
125,B
130,E
120,A
124,C
127,B
132,D
137,E
133,A
138,D
141,B
143,C
148,E
144,A
147,B
152,D
154,C
159,E
151,A
153,C
156,B
161,D
166,E
157,A
160,C
163,B
168,D
173,E
171,A
174,B
179,D
181,C
186,E
182,A
185,B
187,C
192,D
197,E
190,A
193,B
198,D
200,C
205,E
199,A
202,B
204,C
209,D
214,E
213,A
215,C
218,B
223,D
228,E
225,A
227,C
230,B
235,D
240,E
236,A
239,B
241,C
246,D
251,E
244,A
247,C
250,B
255,D
260,E
252,A
254,C
259,D
262,B
267,E
266,A
271,D
273,C
276,B
281,E
277,A
279,C
282,B
287,D
292,E
286,A
289,B
294,D
296,C
301,E
293,A
297,B
299,C
304,D
309,E
300,A
303,B
308,D
310,C
315,E
312,A
316,B
318,C
323,D
328,E
324,A
329,D
332,B
334,C
339,E
333,A
336,B
341,D
343,C
348,E
340,A
345,D
349,B
351,C
356,E
354,A
359,D
361,C
364,B
369,E
366,A
370,B
375,D
377,C
382,E
376,A
381,D
383,C
386,B
391,E
384,A
389,D
392,C
395,B
400,E
399,A
401,C
404,B
409,D
414,E
407,A
412,D
415,B
417,C
422,E
418,A
420,C
423,B
428,D
433,E
431,A
434,C
437,B
442,D
447,E
438,A
440,C
443,B
448,D
453,E
449,A
452,B
454,C
459,D
464,E
460,A
463,B
468,D
470,C
475,E
465,A
469,B
471,C
476,D
481,E
473,A
477,C
480,B
485,D
490,E
486,A
488,C
491,B
496,D
501,E
