timestamp,activity
1,A
3,C
8,D
13,E
9,A
11,C
16,D
21,E
17,A
20,B
25,E
22,A
26,B
31,E
27,A
30,B
35,E
32,A
36,B
41,E
37,A
40,B
45,E
42,A
44,C
49,D
54,E
50,A
52,C
57,D
62,E
58,A
61,B
66,E
63,A
67,B
72,E
68,A
70,C
75,D
80,E
76,A
79,B
84,E
81,A
85,B
90,E
86,A
89,B
94,E
91,A
93,C
98,D
103,E
99,A
102,B
107,E
104,A
106,C
111,D
116,E
112,A
114,C
119,D
124,E
120,A
122,C
127,D
132,E
128,A
131,B
136,E
133,A
135,C
140,D
145,E
141,A
144,B
149,E
146,A
148,C
153,D
158,E
154,A
157,B
162,E
159,A
161,C
166,D
171,E
167,A
169,C
174,D
179,E
175,A
178,B
183,E
180,A
182,C
187,D
192,E
188,A
190,C
195,D
200,E
196,A
198,C
203,D
208,E
204,A
207,B
212,E
209,A
211,C
216,D
221,E
217,A
219,C
224,D
229,E
225,A
227,C
232,D
237,E
233,A
235,C
240,D
245,E
241,A
243,C
248,D
253,E
249,A
252,B
257,E
254,A
258,B
263,E
259,A
262,B
267,E
264,A
266,C
271,D
276,E
272,A
275,B
280,E
278,A
281,B
286,E
284,A
287,B
292,E
290,A
293,C
298,D
303,E
301,A
304,C
309,D
314,E
312,A
315,C
320,D
325,E
323,A
326,C
331,D
336,E
334,A
337,C
342,D
347,E
345,A
348,C
353,D
358,E
356,A
359,B
364,E
362,A
365,C
370,D
375,E
373,A
376,C
381,D
386,E
384,A
387,B
392,E
390,A
393,C
398,D
403,E
401,A
404,C
409,D
414,E
412,A
415,B
420,E
418,A
421,B
426,E
424,A
427,C
432,D
437,E
435,A
438,C
443,D
448,E
446,A
449,B
454,E
452,A
455,C
460,D
465,E
463,A
466,C
471,D
476,E
474,A
477,B
482,E
480,A
483,C
488,D
493,E
491,A
494,C
499,D
504,E
502,A
505,B
510,E
508,A
511,C
516,D
521,E
519,A
522,C
527,D
532,E
530,A
533,B
538,E
536,A
539,C
544,D
549,E
547,A
550,B
555,E
553,A
556,B
561,E
559,A
562,B
567,E
565,A
568,C
573,D
578,E
576,A
579,C
584,D
589,E
587,A
590,C
595,D
600,E
598,A
601,B
606,E
604,A
607,B
612,E
610,A
613,B
618,E
616,A
619,B
624,E
622,A
625,C
630,D
635,E
633,A
636,C
641,D
646,E
644,A
647,B
652,E
650,A
653,B
658,E
656,A
659,B
664,E
662,A
665,C
670,D
675,E
673,A
676,C
681,D
686,E
684,A
687,C
692,D
697,E
695,A
698,B
703,E
701,A
704,C
709,D
714,E
712,A
715,C
720,D
725,E
723,A
726,B
731,E
729,A
732,C
737,D
742,E
740,A
743,B
748,E
746,A
749,C
754,D
759,E
757,A
760,C
765,D
770,E
768,A
771,B
776,E
774,A
777,C
782,D
787,E
785,A
788,B
793,E
