timestamp,activity
1,A
8,C
10,A
15,D
17,C
19,A
24,D
25,B
27,A
32,D
34,C
36,A
41,D
43,C
45,A
50,D
51,B
53,A
58,D
60,C
62,A
67,D
69,C
71,A
76,D
78,C
80,A
85,D
87,C
89,A
94,D
95,B
97,A
102,D
104,C
106,A
111,D
112,B
114,A
119,D
120,B
122,A
127,D
129,C
131,A
136,D
137,B
139,A
144,D
145,B
147,A
152,D
154,C
156,A
161,D
162,B
164,A
169,D
171,C
173,A
178,D
180,C
182,A
187,D
189,C
191,A
196,D
198,C
200,A
205,D
206,B
208,A
213,D
215,C
217,A
222,D
224,C
226,A
231,D
233,C
235,A
240,D
242,C
244,A
249,D
251,C
253,A
258,D
259,B
261,A
266,D
268,C
273,A
275,D
278,B
283,A
285,D
288,B
293,A
295,D
300,C
305,A
307,D
310,B
315,A
317,D
322,C
327,A
329,D
334,C
339,A
341,D
344,B
349,A
351,D
356,C
361,A
363,D
368,C
373,A
375,D
380,C
385,A
387,D
390,B
395,A
397,D
402,C
407,A
409,D
414,C
419,A
421,D
424,B
429,A
431,D
434,B
439,A
441,D
444,B
449,A
451,D
456,C
461,A
463,D
466,B
471,A
473,D
478,C
483,A
485,D
488,B
493,A
495,D
498,B
503,A
505,D
510,C
515,A
517,D
522,C
527,A
529,D
534,C
539,A
541,D
544,B
549,A
551,D
554,B
559,A
561,D
564,B
569,A
571,D
576,C
581,A
583,D
586,B
591,A
593,D
596,B
601,A
603,D
606,B
611,A
613,D
618,C
623,A
625,D
628,B
633,A
635,D
640,C
645,A
647,D
652,C
657,A
659,D
664,C
669,A
671,D
676,C
681,A
683,D
688,C
693,A
695,D
700,C
705,A
707,D
712,C
717,A
719,D
722,B
727,A
729,D
732,B
737,A
739,D
744,C
749,A
751,D
754,B
759,A
761,D
764,B
769,A
771,D
776,C
781,A
783,D
786,B
791,A
793,D
798,C
803,A
805,D
808,B
813,A
815,D
818,B
823,A
825,D
830,C
835,A
837,D
840,B
845,A
847,D
850,B
855,A
857,D
860,B
865,A
867,D
872,C
877,A
879,D
882,B
887,A
889,D
892,B
897,A
899,D
902,B
907,A
909,D
914,C
919,A
921,D
924,B
929,A
931,D
936,C
941,A
943,D
946,B
951,A
953,D
956,B
961,A
963,D
966,B
971,A
973,D
976,B
981,A
983,D
986,B
991,A
993,D
998,C
1003,A
1005,D
1010,C
1016,A
1017,D
1021,B
1028,D
